EgoID,AlterID,Completed_1,Completed_2,Completed_3,Completed_4,Completed_5,Completed_6,Last page seen_1,Last page seen_2,Last page seen_3,Last page seen_4,Last page seen_5,Last page seen_6,Number.alter_1,Number.alter_2,Number.alter_3,Number.alter_4,Number.alter_5,Number.alter_6,5.activities [act01]_1,5.activities [act01]_2,5.activities [act01]_3,5.activities [act01]_4,5.activities [act01]_5,5.activities [act01]_6,5.activities [act02]_1,5.activities [act02]_2,5.activities [act02]_3,5.activities [act02]_4,5.activities [act02]_5,5.activities [act02]_6,5.activities [act03]_1,5.activities [act03]_2,5.activities [act03]_3,5.activities [act03]_4,5.activities [act03]_5,5.activities [act03]_6,5.activities [act04]_1,5.activities [act04]_2,5.activities [act04]_3,5.activities [act04]_4,5.activities [act04]_5,5.activities [act04]_6,5.activities [act05]_1,5.activities [act05]_2,5.activities [act05]_3,5.activities [act05]_4,5.activities [act05]_5,5.activities [act05]_6,AlterPosition_1,AlterPosition_2,AlterPosition_3,AlterPosition_4,AlterPosition_5,AlterPosition_6,Gender_1,Gender_2,Gender_3,Gender_4,Gender_5,Gender_6,Notre.Dame_1,Notre.Dame_2,Notre.Dame_3,Notre.Dame_4,Notre.Dame_5,Notre.Dame_6,whatdorm_1,whatdorm_2,whatdorm_3,whatdorm_4,whatdorm_5,whatdorm_6,Alter.music_1,Alter.music_2,Alter.music_3,Alter.music_4,Alter.music_5,Alter.music_6,Alter.movies_1,Alter.movies_2,Alter.movies_3,Alter.movies_4,Alter.movies_5,Alter.movies_6,Alter.books_1,Alter.books_2,Alter.books_3,Alter.books_4,Alter.books_5,Alter.books_6,Alter.sports_1,Alter.sports_2,Alter.sports_3,Alter.sports_4,Alter.sports_5,Alter.sports_6,Alter.games_1,Alter.games_2,Alter.games_3,Alter.games_4,Alter.games_5,Alter.games_6,Alter.outdoor_1,Alter.outdoor_2,Alter.outdoor_3,Alter.outdoor_4,Alter.outdoor_5,Alter.outdoor_6,same.activities [act01]_1,same.activities [act01]_2,same.activities [act01]_3,same.activities [act01]_4,same.activities [act01]_5,same.activities [act01]_6,same.activities [act02]_1,same.activities [act02]_2,same.activities [act02]_3,same.activities [act02]_4,same.activities [act02]_5,same.activities [act02]_6,same.activities [act03]_1,same.activities [act03]_2,same.activities [act03]_3,same.activities [act03]_4,same.activities [act03]_5,same.activities [act03]_6,same.activities [act04]_1,same.activities [act04]_2,same.activities [act04]_3,same.activities [act04]_4,same.activities [act04]_5,same.activities [act04]_6,same.activities [act05]_1,same.activities [act05]_2,same.activities [act05]_3,same.activities [act05]_4,same.activities [act05]_5,same.activities [act05]_6,Rel.type_1,Rel.type_2,Rel.type_3,Rel.type_4,Rel.type_5,Rel.type_6,Rel.type.other_1,Rel.type.other_2,Rel.type.other_3,Rel.type.other_4,Rel.type.other_5,Rel.type.other_6,Closeness_1,Closeness_2,Closeness_3,Closeness_4,Closeness_5,Closeness_6,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Emotion [loving]_1,Emotion [loving]_2,Emotion [loving]_3,Emotion [loving]_4,Emotion [loving]_5,Emotion [loving]_6,Emotion [exciting]_1,Emotion [exciting]_2,Emotion [exciting]_3,Emotion [exciting]_4,Emotion [exciting]_5,Emotion [exciting]_6,Emotion [significant]_1,Emotion [significant]_2,Emotion [significant]_3,Emotion [significant]_4,Emotion [significant]_5,Emotion [significant]_6,subjective.similar_1,subjective.similar_2,subjective.similar_3,subjective.similar_4,subjective.similar_5,subjective.similar_6
10060,192476,8/16/2011 11:40:00,1/29/2012 21:35:00,NA,8/16/2011 11:40:33,NA,NA,59,60,NA,59,NA,NA,19,19,NA,19,NA,NA,31130,31130,NA,31130,NA,NA,26000,33000,NA,26000,NA,NA,32040,32040,NA,32040,NA,NA,16021,26000,NA,16021,NA,NA,330210,16000,NA,330210,NA,NA,17,18,NA,17,NA,NA,Female,Female,NA,Female,NA,NA,No relationship to ND,No relationship to ND,NA,No relationship to ND,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat,Somewhat,NA,Somewhat,NA,NA,Somewhat,Somewhat,NA,Somewhat,NA,NA,Somewhat,Somewhat,NA,Somewhat,NA,NA,Not that much,Not that much,NA,Not that much,NA,NA,Somewhat,Somewhat,NA,Somewhat,NA,NA,Somewhat,Not that much,NA,Somewhat,NA,NA,1,1,NA,1,NA,NA,1,0,NA,1,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,Friend,Friend,NA,Friend,NA,NA,NA,NA,NA,NA,NA,NA,Close,Close,NA,Close,NA,NA,4,5,NA,4,NA,NA,0,1,NA,0,NA,NA,1,0,NA,1,NA,NA,0,0,NA,0,NA,NA,NA,8,NA,NA,NA,NA
10060,136771,8/16/2011 11:40:00,NA,NA,8/16/2011 11:40:33,NA,NA,59,NA,NA,59,NA,NA,19,NA,NA,19,NA,NA,31130,NA,NA,31130,NA,NA,26000,NA,NA,26000,NA,NA,32040,NA,NA,32040,NA,NA,16021,NA,NA,16021,NA,NA,330210,NA,NA,330210,NA,NA,12,NA,NA,12,NA,NA,Female,NA,NA,Female,NA,NA,No relationship to ND,NA,NA,No relationship to ND,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Not that much,NA,NA,Not that much,NA,NA,Very much,NA,NA,Very much,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Not that much,NA,NA,Not that much,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Friend,NA,NA,Friend,NA,NA,NA,NA,NA,NA,NA,NA,Less than close,NA,NA,Less than close,NA,NA,4,NA,NA,4,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10060,108701,NA,NA,NA,NA,NA,5/9/2013 23:17:45,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,26000,NA,NA,NA,NA,NA,33000,NA,NA,NA,NA,NA,32040,NA,NA,NA,NA,NA,31130,NA,NA,NA,NA,NA,21003,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,No relationship to ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not that much,NA,NA,NA,NA,NA,Somewhat,NA,NA,NA,NA,NA,Somewhat,NA,NA,NA,NA,NA,Not at all,NA,NA,NA,NA,NA,Not that much,NA,NA,NA,NA,NA,Somewhat,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Parent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Less than close,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5
10060,110941,8/16/2011 11:40:00,1/29/2012 21:35:00,5/17/2012 18:51:00,8/16/2011 11:40:33,1/20/2013 21:53:00,5/9/2013 23:17:45,59,60,69,59,70,44,19,19,17,19,16,17,31130,31130,26000,31130,31130,26000,26000,33000,32040,26000,26000,33000,32040,32040,31130,32040,21003,32040,16021,26000,21003,16021,32040,31130,330210,16000,13060,330210,33000,21003,5,8,6,5,9,14,Female,Female,Female,Female,Female,Female,No relationship to ND,No relationship to ND,No relationship to ND,No relationship to ND,No relationship to ND,No relationship to ND,NA,NA,NA,NA,NA,NA,Somewhat,Somewhat,NA,Somewhat,Somewhat,Not that much,Somewhat,Somewhat,NA,Somewhat,Not that much,Not that much,Somewhat,Not that much,NA,Somewhat,Not that much,Not at all,Not at all,Not at all,NA,Not at all,Not at all,Not at all,Somewhat,Somewhat,NA,Somewhat,Somewhat,Not that much,Not that much,Not at all,NA,Not that much,Not at all,Not at all,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,Other family,Other family,Other family,Other family,Other family,Other family,NA,NA,NA,NA,NA,NA,Especially close,Close,Especially close,Especially close,Close,Close,17,18,18,17,19,19,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,NA,7,7,NA,4,4
10060,103984,8/16/2011 11:40:00,NA,NA,8/16/2011 11:40:33,NA,NA,59,NA,NA,59,NA,NA,19,NA,NA,19,NA,NA,31130,NA,NA,31130,NA,NA,26000,NA,NA,26000,NA,NA,32040,NA,NA,32040,NA,NA,16021,NA,NA,16021,NA,NA,330210,NA,NA,330210,NA,NA,7,NA,NA,7,NA,NA,Female,NA,NA,Female,NA,NA,No relationship to ND,NA,NA,No relationship to ND,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Not that much,NA,NA,Not that much,NA,NA,Very much,NA,NA,Very much,NA,NA,Very much,NA,NA,Very much,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Friend,NA,NA,Friend,NA,NA,NA,NA,NA,NA,NA,NA,Especially close,NA,NA,Especially close,NA,NA,3,NA,NA,3,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10060,189936,NA,1/29/2012 21:35:00,5/17/2012 18:51:00,NA,1/20/2013 21:53:00,5/9/2013 23:17:45,NA,60,69,NA,70,44,NA,19,17,NA,16,17,NA,31130,26000,NA,31130,26000,NA,33000,32040,NA,26000,33000,NA,32040,31130,NA,21003,32040,NA,26000,21003,NA,32040,31130,NA,16000,13060,NA,33000,21003,NA,3,4,NA,3,4,NA,Male,Male,NA,Male,Male,NA,No relationship to ND,No relationship to ND,NA,No relationship to ND,No relationship to ND,NA,NA,NA,NA,NA,NA,NA,Very much,NA,NA,Very much,Very much,NA,Very much,NA,NA,Very much,Very much,NA,Somewhat,NA,NA,Somewhat,Very much,NA,Not at all,NA,NA,Not at all,Not at all,NA,Not that much,NA,NA,Not at all,Not at all,NA,Not at all,NA,NA,Not that much,Not that much,NA,0,1,NA,0,1,NA,1,1,NA,1,1,NA,1,0,NA,1,1,NA,1,1,NA,1,0,NA,0,0,NA,0,1,NA,Sibling,Sibling,NA,Sibling,Sibling,NA,NA,NA,NA,NA,NA,NA,Close,Close,NA,Close,Close,NA,18,18,NA,19,19,NA,1,1,NA,0,0,NA,0,0,NA,0,0,NA,0,1,NA,0,1,NA,2,5,NA,3,4
10060,140654,8/16/2011 11:40:00,1/29/2012 21:35:00,5/17/2012 18:51:00,8/16/2011 11:40:33,NA,NA,59,60,69,59,NA,NA,19,19,17,19,NA,NA,31130,31130,26000,31130,NA,NA,26000,33000,32040,26000,NA,NA,32040,32040,31130,32040,NA,NA,16021,26000,21003,16021,NA,NA,330210,16000,13060,330210,NA,NA,9,16,9,9,NA,NA,Female,Female,Female,Female,NA,NA,Will attend,Are attending,Are attending,Will attend,NA,NA,NA,NA,227,NA,NA,NA,Somewhat,Not that much,NA,Somewhat,NA,NA,Not that much,Somewhat,NA,Not that much,NA,NA,Very much,Very much,NA,Very much,NA,NA,Not that much,Not that much,NA,Not that much,NA,NA,Very much,Very much,NA,Very much,NA,NA,Very much,Somewhat,NA,Very much,NA,NA,0,0,1,0,NA,NA,1,0,1,1,NA,NA,1,1,0,1,NA,NA,1,1,0,1,NA,NA,0,0,1,0,NA,NA,Friend,Friend,Friend,Friend,NA,NA,NA,NA,NA,NA,NA,NA,Close,Less than close,Close,Close,NA,NA,5,6,6,5,NA,NA,0,0,0,0,NA,NA,1,0,0,1,NA,NA,0,0,1,0,NA,NA,NA,7,7,NA,NA,NA
10060,193017,NA,NA,NA,NA,NA,5/9/2013 23:17:45,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,26000,NA,NA,NA,NA,NA,33000,NA,NA,NA,NA,NA,32040,NA,NA,NA,NA,NA,31130,NA,NA,NA,NA,NA,21003,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,Are attending,NA,NA,NA,NA,NA,262,NA,NA,NA,NA,NA,Somewhat,NA,NA,NA,NA,NA,Somewhat,NA,NA,NA,NA,NA,Somewhat,NA,NA,NA,NA,NA,Not at all,NA,NA,NA,NA,NA,Very much,NA,NA,NA,NA,NA,Not that much,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Friend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Close,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6
10060,110836,8/16/2011 11:40:00,NA,NA,8/16/2011 11:40:33,NA,NA,59,NA,NA,59,NA,NA,19,NA,NA,19,NA,NA,31130,NA,NA,31130,NA,NA,26000,NA,NA,26000,NA,NA,32040,NA,NA,32040,NA,NA,16021,NA,NA,16021,NA,NA,330210,NA,NA,330210,NA,NA,4,NA,NA,4,NA,NA,Male,NA,NA,Male,NA,NA,No relationship to ND,NA,NA,No relationship to ND,NA,NA,NA,NA,NA,NA,NA,NA,Very much,NA,NA,Very much,NA,NA,Very much,NA,NA,Very much,NA,NA,Very much,NA,NA,Very much,NA,NA,Not at all,NA,NA,Not at all,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Not that much,NA,NA,Not that much,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,Sibling,NA,NA,Sibling,NA,NA,NA,NA,NA,NA,NA,NA,Close,NA,NA,Close,NA,NA,17,NA,NA,17,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10060,174723,8/16/2011 11:40:00,NA,NA,8/16/2011 11:40:33,NA,NA,59,NA,NA,59,NA,NA,19,NA,NA,19,NA,NA,31130,NA,NA,31130,NA,NA,26000,NA,NA,26000,NA,NA,32040,NA,NA,32040,NA,NA,16021,NA,NA,16021,NA,NA,330210,NA,NA,330210,NA,NA,19,NA,NA,19,NA,NA,Female,NA,NA,Female,NA,NA,No relationship to ND,NA,NA,No relationship to ND,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,Very much,NA,NA,Very much,NA,NA,Somewhat,NA,NA,Somewhat,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Friend,NA,NA,Friend,NA,NA,NA,NA,NA,NA,NA,NA,Especially close,NA,NA,Especially close,NA,NA,3,NA,NA,3,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
