computeruse,contactlens,daded,dadrelig,disabilitylearning,disabilityphysical,ethnicity,eyeglasses,familymilitary,fbprivacy,gender,heighttotal,major,momed,momrelig,numberpets,parentsmarriage,pincome,weight,SurveyNr,egoid
1,1,2,1,0,0,2,1,0,0,0,0,5,2,1,1,2,0,2,1,92782
1,1,2,1,0,0,2,1,0,0,0,0,5,2,1,1,2,0,2,2,92782
1,1,2,1,0,0,2,1,0,0,0,0,5,2,1,1,2,0,2,3,92782
1,1,2,1,0,0,2,1,0,0,0,0,5,2,1,1,2,0,2,4,92782
1,1,2,1,0,0,2,1,0,0,0,0,5,2,1,1,2,0,2,5,92782
1,1,2,1,0,0,2,1,0,0,0,0,5,2,1,1,2,0,2,6,92782
1,0,2,1,0,0,3,0,1,3,0,1,5,0,1,3,2,0,0,1,96362
1,0,2,1,0,0,3,0,1,3,0,1,5,0,1,3,2,0,0,2,96362
1,0,2,1,0,0,3,0,1,3,0,1,5,0,1,3,2,0,0,3,96362
1,0,2,1,0,0,3,0,1,3,0,1,5,0,1,3,2,0,0,4,96362
1,0,2,1,0,0,3,0,1,3,0,1,5,0,1,3,2,0,0,5,96362
1,0,2,1,0,0,3,0,1,3,0,1,5,0,1,3,2,0,0,6,96362
0,1,0,1,0,0,2,1,1,0,1,2,2,2,1,1,2,0,1,1,91257
0,1,0,1,0,0,2,1,1,0,1,2,2,2,1,1,2,0,1,2,91257
0,1,0,1,0,0,2,1,1,0,1,2,2,2,1,1,2,0,1,3,91257
0,1,0,1,0,0,2,1,1,0,1,2,2,2,1,1,2,0,1,4,91257
0,1,0,1,0,0,2,1,1,0,1,2,2,2,1,1,2,0,1,5,91257
0,1,0,1,0,0,2,1,1,0,1,2,2,2,1,1,2,0,1,6,91257
0,1,3,1,0,0,2,0,0,2,1,1,3,2,1,2,2,0,0,1,97942
0,1,3,1,0,0,2,0,0,2,1,1,3,2,1,2,2,0,0,2,97942
0,1,3,1,0,0,2,0,0,2,1,1,3,2,1,2,2,0,0,3,97942
0,1,3,1,0,0,2,0,0,2,1,1,3,2,1,2,2,0,0,4,97942
0,1,3,1,0,0,2,0,0,2,1,1,3,2,1,2,2,0,0,5,97942
0,1,3,1,0,0,2,0,0,2,1,1,3,2,1,2,2,0,0,6,97942
0,1,0,1,0,0,2,1,0,0,0,1,5,0,1,1,2,0,0,1,31583
0,1,0,1,0,0,2,1,0,0,0,1,5,0,1,1,2,0,0,2,31583
0,1,0,1,0,0,2,1,0,0,0,1,5,0,1,1,2,0,0,3,31583
0,1,0,1,0,0,2,1,0,0,0,1,5,0,1,1,2,0,0,4,31583
0,1,0,1,0,0,2,1,0,0,0,1,5,0,1,1,2,0,0,5,31583
0,1,0,1,0,0,2,1,0,0,0,1,5,0,1,1,2,0,0,6,31583
1,0,0,1,0,0,3,0,1,0,1,1,6,2,1,1,1,0,3,1,10281
1,0,0,1,0,0,3,0,1,0,1,1,6,2,1,1,1,0,3,2,10281
1,0,0,1,0,0,3,0,1,0,1,1,6,2,1,1,1,0,3,3,10281
1,0,0,1,0,0,3,0,1,0,1,1,6,2,1,1,1,0,3,4,10281
1,0,0,1,0,0,3,0,1,0,1,1,6,2,1,1,1,0,3,5,10281
1,0,0,1,0,0,3,0,1,0,1,1,6,2,1,1,1,0,3,6,10281
0,0,0,4,0,0,2,0,0,0,1,2,1,0,1,2,2,3,3,1,31372
0,0,0,4,0,0,2,0,0,0,1,2,1,0,1,2,2,3,3,2,31372
0,0,0,4,0,0,2,0,0,0,1,2,1,0,1,2,2,3,3,3,31372
0,0,0,4,0,0,2,0,0,0,1,2,1,0,1,2,2,3,3,4,31372
0,0,0,4,0,0,2,0,0,0,1,2,1,0,1,2,2,3,3,5,31372
0,0,0,4,0,0,2,0,0,0,1,2,1,0,1,2,2,3,3,6,31372
1,0,0,1,0,0,2,1,0,0,1,2,1,2,1,1,2,0,3,1,44947
1,0,0,1,0,0,2,1,0,0,1,2,1,2,1,1,2,0,3,2,44947
1,0,0,1,0,0,2,1,0,0,1,2,1,2,1,1,2,0,3,3,44947
